id,proper,x,y,z,mag,ci
116439,Kaffalmusalsala,36.792238,-3.152838,36.078346,4.15,-0.071
47069,Kalausi,-24.34255,17.492359,-28.220225,8.23,0.811
78979,Kamuy,-51.645678,-99.279411,56.389141,6.57,1.037
69205,Kang,-64.306477,-42.119366,-13.933635,4.18,1.323
24129,Kapteyn's Star,0.578997,2.705174,-2.76822,8.86,1.543
76118,Karaka,-3.930997,-5.39398,-38.659171,8.71,0.891
89906,Kaus Australis,3.817188,-36.057831,-24.812975,1.79,-0.031
90217,Kaus Borealis,2.635486,-21.487046,-10.289309,2.82,1.025
89653,Kaus Media,8.460232,-92.098382,-53.027575,2.72,1.38
92604,Kaveh,30.48371,-122.991629,9.450485,8.02,0.869
19799,Keid,2.179524,4.432894,-0.66374,4.43,0.82
69751,Khambalia,-45.689342,-31.728277,-13.222219,4.52,0.128
104649,Kitalpha,43.818116,-38.149671,5.336289,3.92,0.549
72380,Kochab,-8.058164,-7.429707,38.619407,2.07,1.465
12928,Koeia,15.812912,14.078244,-9.024692,10.25,1.389
80571,Kornephoros,-15.155861,-36.689058,15.62843,2.78,0.947
61166,Kraz,-40.529889,-6.127261,-17.73539,2.65,0.893
110547,Kruger 60,1.968033,-0.83547,3.381486,9.59,1.613
4453,Kui,62.61915,15.963361,27.988017,4.4,0.94
64904,Kulou,-13.562569,-4.976416,-10.773082,2.75,0.068
108573,Kurhah,11.085515,-6.15803,26.739992,4.26,0.379
62030,La Superba,-220.542536,-43.99915,228.371602,5.42,2.994
104751,Lacaille 8760,2.330004,-2.003156,-2.476477,6.69,1.397
113687,Lacaille 9352,2.581532,-0.621353,-1.918773,7.35,1.483
53879,Lalande 21185,-1.998,0.504305,1.495504,7.49,1.502
109784,Lang-Exster,27.447381,-13.018072,-53.171301,2.87,1.39
82144,Larawag,-4.842163,-15.39568,-11.006616,2.29,1.144
67786,Leepwal,-69.545858,-38.36753,-86.039492,2.55,-0.176
85436,Lesath,-17.880984,-139.40881,-107.054828,2.7,-0.179
97627,Libertas,26.612383,-48.887669,8.280414,4.71,1.023
65983,Liesma,-48.051398,-20.903886,71.410393,8.05,0.699
13028,Lilii Borea,34.120953,30.698125,25.701009,4.52,1.112
110467,Lionrock,115.004344,-49.379339,-38.895048,7.6,0.882
30788,Lucilinburhuc,-4.756834,37.704707,30.734041,7.89,0.74
30832,Lusitânia,-4.288647,33.455125,6.515853,8.1,0.846
36107,Luyten's Star,-1.409549,3.514856,0.346358,9.84,1.573
85433,Maasym,-12.948576,-100.86468,49.842035,4.41,1.434
52370,Macondo,-21.954758,7.522298,-15.405733,8.3,0.945
23949,Mago,9.153224,40.959237,113.090617,6.43,1.101
