id,hip,proper,mag,ci,x,y,z
77868,78104,Iklil,3.87,-0.199,-64.636099,-108.519131,-70.633018
46954,47087,Illyrian,7.62,0.864,-83.307172,60.663459,71.573083
59565,59747,Imai,2.79,-0.193,-54.778605,-3.62525,-90.466
84529,84787,Inquill,6.67,0.614,-6.321012,-35.717587,-41.069892
15539,15578,Intan,9.92,1.037,24.611899,29.516952,-25.659946
46339,46471,Intercrus,5.4,0.993,-47.431774,36.836132,61.329924
108030,108375,Itonda,7.47,0.568,31.177482,-18.487777,-28.079086
71879,72105,Izar,2.35,0.966,-41.582771,-36.462926,28.269741
79134,79374,Jabbah,4.0,0.076,-62.219516,-122.106847,-48.424462
37159,37265,Jishui,4.89,0.413,-17.604251,38.11415,28.945417
12673,12706,Kaffaljidhma,3.47,0.093,18.440324,15.931398,1.377729
116439,116805,Kaffalmusalsala,4.15,-0.071,36.792238,-3.152838,36.078346
47069,47202,Kalausi,8.23,0.811,-24.34255,17.492359,-28.220225
78979,79219,Kamuy,6.57,1.037,-51.645678,-99.279411,56.389141
69205,69427,Kang,4.18,1.323,-64.306477,-42.119366,-13.933635
24129,24186,Kapteyn's Star,8.86,1.543,0.578997,2.705174,-2.76822
76118,76351,Karaka,8.71,0.891,-3.930997,-5.39398,-38.659171
89906,90185,Kaus Australis,1.79,-0.031,3.817188,-36.057831,-24.812975
90217,90496,Kaus Borealis,2.82,1.025,2.635486,-21.487046,-10.289309
89653,89931,Kaus Media,2.72,1.38,8.460232,-92.098382,-53.027575
92604,92895,Kaveh,8.02,0.869,30.48371,-122.991629,9.450485
19799,19849,Keid,4.43,0.82,2.179524,4.432894,-0.66374
69751,69974,Khambalia,4.52,0.128,-45.689342,-31.728277,-13.222219
104649,104987,Kitalpha,3.92,0.549,43.818116,-38.149671,5.336289
72380,72607,Kochab,2.07,1.465,-8.058164,-7.429707,38.619407
12928,12961,Koeia,10.25,1.389,15.812912,14.078244,-9.024692
80571,80816,Kornephoros,2.78,0.947,-15.155861,-36.689058,15.62843
61166,61359,Kraz,2.65,0.893,-40.529889,-6.127261,-17.73539
110547,110893,Kruger 60,9.59,1.613,1.968033,-0.83547,3.381486
4453,4463,Kui,4.4,0.94,62.61915,15.963361,27.988017
64904,65109,Kulou,2.75,0.068,-13.562569,-4.976416,-10.773082
108573,108917,Kurhah,4.26,0.379,11.085515,-6.15803,26.739992
62030,62223,La Superba,5.42,2.994,-220.542536,-43.99915,228.371602
104751,105090,Lacaille 8760,6.69,1.397,2.330004,-2.003156,-2.476477
113687,114046,Lacaille 9352,7.35,1.483,2.581532,-0.621353,-1.918773
53879,54035,Lalande 21185,7.49,1.502,-1.998,0.504305,1.495504
109784,110130,Lang-Exster,2.87,1.39,27.447381,-13.018072,-53.171301
82144,82396,Larawag,2.29,1.144,-4.842163,-15.39568,-11.006616
67786,68002,Leepwal,2.55,-0.176,-69.545858,-38.36753,-86.039492
85436,85696,Lesath,2.7,-0.179,-17.880984,-139.40881,-107.054828
97627,97938,Libertas,4.71,1.023,26.612383,-48.887669,8.280414
65983,66192,Liesma,8.05,0.699,-48.051398,-20.903886,71.410393
13028,13061,Lilii Borea,4.52,1.112,34.120953,30.698125,25.701009
110467,110813,Lionrock,7.6,0.882,115.004344,-49.379339,-38.895048
30788,30860,Lucilinburhuc,7.89,0.74,-4.756834,37.704707,30.734041
30832,30905,Lusitânia,8.1,0.846,-4.288647,33.455125,6.515853
36107,36208,Luyten's Star,9.84,1.573,-1.409549,3.514856,0.346358
85433,85693,Maasym,4.41,1.434,-12.948576,-100.86468,49.842035
52370,52521,Macondo,8.3,0.945,-21.954758,7.522298,-15.405733
23949,24003,Mago,6.43,1.101,9.153224,40.959237,113.090617
28309,28380,Mahasim,2.65,-0.083,0.049188,40.426416,30.69934
82399,82651,Mahsati,8.38,0.9,-51.7543,-173.956642,38.490448
17532,17573,Maia,3.87,-0.063,59.14718,89.215057,48.48319
80637,80883,Marfik,3.82,0.022,-20.104527,-49.089266,1.837527
113603,113963,Markab,2.49,-0.002,38.311434,-9.417123,10.722722
45809,45941,Markeb,2.47,-0.141,-77.65777,63.951481,-143.729782
78804,79043,Marsic,5.0,0.931,-50.571259,-95.186266,33.050231
78805,79045,Marsic B,6.25,1.14,-289.369888,-544.699215,189.212514
111804,112158,Matar,2.93,0.852,53.59916,-18.717064,33.070991
65221,65426,Matza,7.01,0.093,-56.858287,-21.997276,-76.655891
32161,32246,Mebsuta,3.06,1.377,-44.684834,230.247724,110.023705
59592,59774,Megrez,3.32,0.077,-13.402309,-0.903455,20.710384
26142,26207,Meissa,3.39,-0.16,35.907504,329.702779,58.086365
34000,34088,Mekbuda,4.01,0.899,-109.067807,379.683873,148.25163
42437,42556,Meleph,6.29,0.17,-109.202884,129.624965,60.169858
28288,28360,Menkalinan,1.9,0.077,0.036195,17.601288,17.569058
14100,14135,Menkar,2.54,1.63,53.342561,54.414384,5.448321
68714,68933,Menkent,2.06,1.011,-12.358808,-7.624204,-10.694288
18567,18614,Menkib,3.98,0.016,156.01015,267.421217,223.218208
53754,53910,Merak,2.34,0.033,-13.103033,3.398358,20.360601
72261,72487,Merga,5.76,0.482,-25.109461,-22.870123,35.313409
93819,94114,Meridiana,4.11,0.042,9.052029,-28.941534,-23.610478
17566,17608,Merope,4.14,-0.051,58.663928,88.906234,47.309232
8813,8832,Mesarthim,3.88,-0.047,41.769649,22.568336,16.620371
45106,45238,Miaplacidus,1.67,0.07,-8.980712,8.001552,-32.546536
62239,62434,Mimosa,1.25,-0.238,-42.168771,-8.909619,-73.723149
42283,42402,Minchir,4.45,1.216,-72.861703,87.795627,6.661268
62890,63090,Minelauva,3.39,1.571,-58.94191,-14.587593,3.604756
25865,25930,Mintaka,2.25,-0.175,25.868117,210.729667,-1.108306
10800,10826,Mira,6.47,0.966,75.131148,52.288786,-4.761374
5436,5447,Mirach,2.07,1.576,46.946371,14.741814,35.255129
13234,13268,Miram,3.77,1.69,111.116108,102.442422,223.184985
15824,15863,Mirfak,1.79,0.481,62.885098,77.880689,118.708804
30251,30324,Mirzam,1.98,-0.24,-14.209731,142.995999,-46.568852
14632,14668,Misam,3.79,0.98,16.593574,18.028979,24.381331
65173,65378,Mizar,2.23,0.057,-14.115808,-5.413302,21.531272
72113,72339,Mönch,8.04,0.781,-23.603748,-21.168292,-0.15576
8777,8796,Mothallah,3.42,0.488,14.872602,7.99818,9.584806
22438,22491,Mouhoun,7.91,0.961,32.206232,102.609681,-48.714197
33956,34045,Muliphein,4.11,-0.112,-35.835279,125.471916,-36.514903
67711,67927,Muphrid,2.68,0.58,-9.487671,-5.188142,3.596709
41586,41704,Muscida,3.35,0.856,-16.37548,21.290022,47.898272
103195,103527,Musica,5.51,0.934,51.937043,-52.652515,14.160751
44819,44946,Nahn,5.16,0.97,-77.988303,71.865489,42.945282
39318,39429,Naos,2.21,-0.269,-130.674899,218.376203,-213.564535
106642,106985,Nashira,3.69,0.32,37.793496,-26.44095,-13.804954
40572,40687,Násti,8.2,0.652,-14.7896,21.444841,47.900183
48099,48235,Natasha,8.54,0.855,-17.62853,11.226113,-24.722742
73327,73555,Nekkar,3.49,0.956,-36.876434,-37.508062,44.750903
7593,7607,Nembus,3.59,1.275,32.669331,14.886999,40.762548
5044,5054,Nenque,7.72,0.613,30.667693,8.890809,-26.310407
32829,32916,Nervia,8.1,0.729,-7.453896,32.605159,28.93919
33769,33856,Nganurganity,3.49,1.729,-80.775471,292.659236,-160.9853
25542,25606,Nihal,2.81,0.807,6.349344,45.531613,-17.425966
74732,74961,Nikawiy,7.88,0.93,-47.33943,-55.9706,65.389271
56916,57087,Noquisi,10.67,1.493,-9.031878,0.703493,4.557621
31812,31895,Nosaxa,8.05,0.747,-9.824884,55.678794,-64.000065
92564,92855,Nunki,2.05,-0.134,14.950858,-60.794062,-30.937099
75466,75695,Nusakan,3.66,0.319,-18.45833,-23.589253,16.675351
13159,13192,Nushagak,8.17,0.643,17.335912,15.849496,71.246614
80593,80838,Ogma,8.15,0.611,-23.714339,-57.602097,49.279323
93452,93747,Okab,2.99,0.014,6.95881,-23.716532,6.099966
